id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
68374262,2021/01/20 11:14 AM MST,1/20/21,2021-01-20 18:14:00 UTC,Arizona,2624055,kneubaue,2021-01-20 18:26:48 UTC,2021-03-24 04:26:35 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68374262,https://static.inaturalist.org/photos/110696713/medium.jpeg,,,This male butterfly floated in for a minute to taste a bit of Ocimum basilicum flower then rested on Sweet Potato (Ipomoea batatas) leaves. Very tattered wing tips. About 13 mph winds and 69 degree F weather temperature.,2,0,FALSE,,"Las Vistas, Avondale, AZ 85392, USA",33.48206389,-112.3034976,15,15,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
68385631,Wed Jan 20 2021 16:37:04 GMT-0700 (MST),1/20/21,2021-01-20 23:37:04 UTC,Mountain Time (US & Canada),1117267,dperino,2021-01-20 23:39:57 UTC,2021-05-12 17:03:48 UTC,research,,https://www.inaturalist.org/observations/68385631,https://static.inaturalist.org/photos/110717864/medium.jpg,,,,1,0,FALSE,3,"E Fort Lowell Rd, Tucson, AZ, US",32.261725,-110.8777917,9,9,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
68978121,2021/02/02 11:27 AM UTC,2/2/21,2021-02-02 11:27:00 UTC,UTC,2494896,wbarrett,2021-02-02 22:38:20 UTC,2021-02-18 00:11:32 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68978121,https://inaturalist-open-data.s3.amazonaws.com/photos/111823591/medium.jpeg,,,,3,0,FALSE,,"Phoenix, AZ, USA",33.46043889,-111.9423,5,5,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
69107136,Wed Feb 03 2021 14:06:42 GMT-0700 (MST),2/3/21,2021-02-03 21:06:42 UTC,Mountain Time (US & Canada),3969102,adreja_wiggins,2021-02-05 22:30:37 UTC,2021-02-17 23:14:50 UTC,research,,https://www.inaturalist.org/observations/69107136,https://static.inaturalist.org/photos/112063568/medium.jpg,,,,3,0,FALSE,3,"Arizona State University, Phoenix, AZ, US",33.60913833,-112.1624138,4,4,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
69159834,2021/02/06 11:21 AM MST,2/6/21,2021-02-06 18:21:00 UTC,Arizona,8352,scottolmstead,2021-02-06 20:48:17 UTC,2021-02-17 22:57:12 UTC,research,CC-BY,https://www.inaturalist.org/observations/69159834,https://static.inaturalist.org/photos/112160686/medium.jpg,,,Both photos of same individual.,2,0,FALSE,,"Evergreen Cemetery, Tucson, AZ",32.26592018,-110.9802127,46,46,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
69287627,2021-02-08 7:36:28 PM MST,2/8/21,2021-02-09 02:36:28 UTC,Mountain Time (US & Canada),2673348,tracy361,2021-02-09 02:37:48 UTC,2021-09-02 03:56:42 UTC,research,,https://www.inaturalist.org/observations/69287627,https://static.inaturalist.org/photos/112403883/medium.jpeg,,,Female,3,0,FALSE,2,"Desert Botanical Garden, Phoenix, AZ 85008, USA",33.4637235,-111.9425019,193,193,,,FALSE,gps,gps,Monarch,Danaus plexippus,Monarch,Insecta,48662
69329990,Tue Feb 09 2021 17:30:46 GMT-0700 (MST),2/9/21,2021-02-10 00:30:46 UTC,Mountain Time (US & Canada),3731737,kvnkv,2021-02-10 00:32:06 UTC,2021-02-17 22:16:43 UTC,research,,https://www.inaturalist.org/observations/69329990,https://static.inaturalist.org/photos/112486223/medium.jpg,,,Monarch in jade green chrysalis phase ,1,0,FALSE,3,"S Sycamore, Mesa, AZ, US",33.4040116,-111.8699854,3986,3986,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
69374615,2021-02-10 11:41:29 AM MST,2/10/21,2021-02-10 18:41:29 UTC,Mountain Time (US & Canada),616881,ecoexplorers,2021-02-10 18:42:57 UTC,2021-07-23 18:09:10 UTC,research,,https://www.inaturalist.org/observations/69374615,https://static.inaturalist.org/photos/112544588/medium.jpeg,,,,2,0,FALSE,2,"Coolidge, AZ, USA",32.95696389,-111.6008972,,,,,FALSE,gps,gps,Monarch,Danaus plexippus,Monarch,Insecta,48662
69383662,Wed Feb 10 2021 14:32:45 GMT-0700 (MST),2/10/21,2021-02-10 21:32:45 UTC,Mountain Time (US & Canada),2564491,jdpaullette,2021-02-10 22:27:33 UTC,2021-02-17 22:05:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/69383662,https://inaturalist-open-data.s3.amazonaws.com/photos/112561548/medium.jpg,,,,2,0,FALSE,3,"E Speedway Blvd, Tucson, AZ, US",32.23647574,-110.8656134,457,457,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
69426443,2021-02-11 1:53:55 PM MST,2/11/21,2021-02-11 20:53:55 UTC,Arizona,1095581,inatalia,2021-02-11 21:13:52 UTC,2021-02-17 21:58:04 UTC,research,,https://www.inaturalist.org/observations/69426443,https://static.inaturalist.org/photos/112641957/medium.jpeg,,,Male monarch on Eucalyptus sp. at Desert Botanical Garden,2,0,FALSE,2,"Tempe, AZ 85281, USA",33.46068333,-111.9430917,,,,,FALSE,gps,gps,Monarch,Danaus plexippus,Monarch,Insecta,48662
